Quote
ACE                    
ADVANC                 
AEONTS                 
AMATA                  
AOT                    
AP                     
AWC                    
BAM                    
BANPU                  
BBL                    
BCH                    
BCP                    
BCPG                   
BDMS                   
BEC                    
BEM                    
BGRIM                  
BH                     
BLA                    
BPP                    
BTS                    
CBG                    
CENTEL                 
CHG                    
CK                     
CKP                    
COM7                   
CPALL                  
CPF                    
CPN                    
CRC                    
DOHOME                 
DTAC                   
EA                     
EGCO                   
EPG                    
ESSO                   
GLOBAL                 
GPSC                   
GULF                   
GUNKUL                 
HANA                   
HMPRO                  
INTUCH                 
IRPC                   
IVL                    
JMART                  
JMT                    
KBANK                  
KCE                    
KEX                    
KKP                    
KTB                    
KTC                    
LH                     
MAJOR                  
MEGA                   
MINT                   
MTC                    
OR                     
ORI                    
OSP                    
PLANB                  
PTG                    
PTT                    
PTTEP                  
PTTGC                  
QH                     
RATCH                  
RBF                    
RCL                    
RS                     
SAWAD                  
SCC                    
SCGP                   
SINGER                 
SIRI                   
SPALI                  
SPRC                   
STA                    
STARK                  
STEC                   
STGT                   
SUPER                  
SYNEX                  
TASCO                  
TCAP                   
THANI                  
TIDLOR                 
TISCO                  
TOP                    
TQM                    
TRUE                   
TTA                    
TTB                    
TU                     
TVO                    
VGI                    
WHA                    
